Trees;Instances;Features;Max;Avg
1;5;2;58.5185;55.3333
1;5;3;55.1852;53.3333
1;5;4;57.7778;55
1;5;5;61.4815;59.3333
1;5;6;61.4815;55.3333
1;5;7;65.1852;55.6667
1;5;8;60.7407;57
1;5;9;67.7778;62.3333
1;10;2;60.7407;58
1;10;3;65.9259;61.3333
1;10;4;62.2222;56.6667
1;10;5;65.5556;62
1;10;6;59.2593;56.6667
1;10;7;59.6296;57
1;10;8;61.4815;59
1;10;9;65.9259;60.3333
1;15;2;71.8519;63
1;15;3;58.8889;57.3333
1;15;4;60.7407;56.6667
1;15;5;59.6296;55
1;15;6;62.963;58.6667
1;15;7;59.2593;58
1;15;8;61.8519;59.6667
1;15;9;62.963;58
1;20;2;65.5556;62
1;20;3;67.037;61.3333
1;20;4;65.5556;62
1;20;5;64.4444;56.3333
1;20;6;65.5556;62
1;20;7;62.963;58.3333
1;20;8;63.3333;57
1;20;9;59.6296;56.6667
1;25;2;71.1111;65.3333
1;25;3;66.6667;62.3333
1;25;4;70.3704;63.3333
1;25;5;67.4074;64
1;25;6;68.8889;63.6667
1;25;7;64.4444;62.3333
1;25;8;64.4444;59
1;25;9;68.5185;64
1;30;2;69.6296;65.3333
1;30;3;68.8889;66
1;30;4;68.5185;66
1;30;5;69.2593;66.6667
1;30;6;67.4074;65
1;30;7;59.6296;57.6667
1;30;8;69.6296;64.3333
1;30;9;68.5185;63.6667
1;35;2;73.7037;67.6667
1;35;3;64.4444;62.6667
1;35;4;67.7778;63
1;35;5;69.2593;63
1;35;6;69.6296;65.6667
1;35;7;65.9259;64
1;35;8;68.8889;64.3333
1;35;9;65.1852;61
1;40;2;69.6296;66
1;40;3;65.5556;61.6667
1;40;4;68.5185;65
1;40;5;68.1481;66
1;40;6;66.6667;59
1;40;7;66.2963;60.6667
1;40;8;62.5926;60
1;40;9;68.1481;65.3333
1;45;2;66.6667;63.3333
1;45;3;68.8889;65.3333
1;45;4;71.1111;64.3333
1;45;5;67.7778;63.3333
1;45;6;70.3704;66.6667
1;45;7;67.037;63.6667
1;45;8;65.5556;60.6667
1;45;9;68.8889;64.6667
1;50;2;68.8889;64.6667
1;50;3;68.8889;66
1;50;4;74.4444;67.6667
1;50;5;67.7778;66.6667
1;50;6;70;60.6667
